,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
Key,Value,Character_Limit,Needs !? or .,Temp [ ]?,Enable Checks:,TRUE
main_menu_button_new_game,Новая игра,,,,,
main_menu_button_options,Настройки,,,,,
main_menu_button_quit,Выйти из игры,,,,,
main_menu_button_load_game,Загрузить Игру,,,,,
main_menu_button_continue,Продолжить,,,,,
main_menu_button_credits,Авторы,,,,,
main_menu_version_text,Версия игры,,,,,
,,,,,,
level_select_level_new_game_header,Новая Игра,,,,,
level_select_level_destination_header,Выберите Место:,,,,,
level_select_level_Info_name_town_header,Назовите Свой Город:,,,,,
level_select_level_Info_options_header,Настройки:,,,,,
level_select_level_Info_tutorial_toggle,Обучение,,,,,
level_select_level_Info_story_toggle,Сюжет,,,,,
level_select_level_Info_start_button,Начать,,,,,
level_select_level_Info_difficulty_button,Сложность:,,,,,
level_select_promt_empty_town_name,Вы должны ввести название города перед тем как начать!,,,,,
level_select_promt_invalid_town_name,"Название ""{0}"" не является допустимым Названием Города",,,,,
level_select_promt_invalid_character_in_town_name,Название города содержит недопустимый символ '{0}',,,,,
level_select_promt_town_name_already_exists,"Файл сохранения с именем ""{0}"" уже существует!<br><br>Начав новую игру файл будет перезаписан!<br><br>Продолжить?",,,,,
level_select_name_field_description,Название Города...,,,,,
,,,,,,
load_game_load_load_header,Загрузить Игру,,,,,
load_game_load_select_game,Ваберите Игру:,,,,,
load_game_load_load_button,Загрузить,,,,,
load_game_load_delete_button,Удалить,,,,,
load_game_load_delete_promt_message,Вы действительно хотите УДАЛИТЬ это Сохранение?,,,,,
load_game_load_load_hotkey,Загрузить Выбранные,,,,,
load_game_load_delete_hotkey,Удалить Выбранные,,,,,
load_game_load_loading_files,Загрузка Сохранения...,,,,,
load_game_load_no_files_in_storage,Сохранения не найдены!,,,,,
,,,,,,
game_difficulty_normal_name,Сбалансированная,,,,,
game_difficulty_easy_name,Казуальная,,,,,
game_difficulty_hard_name,Сложная,,,,,
game_difficulty_normal_desc,"Рекомендуемая сложность игры для новичков. Вам придется следить за своими ресурсами, а также сражаться с врагами, которые доставляют дискомфорт.",190,,,,
game_difficulty_easy_desc,"Расслабляющий опыт. Ресурсов много, затраты низкие, а враги слабые и пушистые.",190,,,,
game_difficulty_hard_desc,"Вам нужно быть начеку, чтобы ваш город процветал. Ресурсами следует распоряжаться осторожно. Многочисленные агрессивные враги и отсутствие бесплатных перемещений, а также возврата средств при разрушении строений.",190,,,,
,,,,,,
loading_screen_tip_1_header,Подсказка #1,,,,,
loading_screen_tip_1_desc,"Если вы испытываете трудности с деньгами, попробуйте убрать некоторые постройки для возврата денег.<br>В качестве альтернативы, вы можете построить больше жилищ и удовлетворять их потребности, чтобы заработать больше налогов!",,,,,
loading_screen_tip_2_header,Подсказка #2,,,,,
loading_screen_tip_2_desc,Есть ли нестабильность в шахте? Установите опорный столб для его стабилизации!,,,,,
loading_screen_tip_3_header,Подсказка #3,,,,,
loading_screen_tip_3_desc,"Не забывайте часто посещать железнодорожую станцию. Вы можете быть удивлены тем, что можно найти в магазине предметов.",,,,,
loading_screen_tip_4_header,Подсказка #4,,,,,
loading_screen_tip_4_desc,"Если вы не уверены в потребностях ваших граждан, выберите любое из их жилищ, чтобы проверить всего ли им хватает.",,,,,
loading_screen_tip_5_header,Подсказка #5,,,,,
loading_screen_tip_5_desc,Имеете избыток определенного ресурса? Почему бы не обменять его на железнодорожной станции на то чего вам не хватает?,,,,,
loading_screen_tip_6_header,Подсказка #6,,,,,
loading_screen_tip_6_desc,Ваше городское хранилище может вместить максимум 50 единиц одного ресурса. Некоторые улучшения могут повысить этот предел!,,,,,
loading_screen_tip_7_header,Подсказка #7,,,,,
loading_screen_tip_7_desc,"Слишком большое количество поставок загромождает ваш склад? Постройте еще один рядом, чтобы облегчить нагрузку!",,,,,
loading_screen_tip_8_header,Подсказка #8,,,,,
loading_screen_tip_8_desc,"Гвардия будет сражаться с врагами которых вы встретите в шахте! Помните что вы можете <br>предоставить им оборудование в виде нового оружия, чтобы сделать их более эффективными.",,,,,
loading_screen_tip_9_header,Подсказка #9,,,,,
loading_screen_tip_9_desc,"Турели являются наиболее эффективным способом обеспечения обороны котлованов или <br>стратегических районов. Но в отличие от гвардии они не могут перемещаться.",,,,,
loading_screen_tip_10_header,Подсказка #10,,,,,
loading_screen_tip_10_desc,"Исследователи обрабатывают все ресурсы в шахте. Без них вы ничего не получите от этих <br>сочных ресурсных жил! Помните, что вы можете дать им Оборудование которое повышает их эффективность!",,,,,
loading_screen_tip_11_header,Подсказка #11,,,,,
loading_screen_tip_11_desc,"Шахтеры выполняют весь ручной труд в шахте. Копаются во всем - от грязи до гранита! <br>Если вы снабдите их нужными инструментами, такими как новые кирки и твердосплавные сверла, конечно же.",,,,,
loading_screen_tip_12_header,Подсказка #12,,,,,
loading_screen_tip_12_desc,"Механики следят за тем чтобы в шахте все работало как положено. <br>Барьеры, турели и экскаваторы - все это строят эти задиристые Стимботы.",,,,,
loading_screen_tip_13_header,Подсказка #13,,,,,
loading_screen_tip_13_desc,"После удовлетворения всех потребностей жилища, вы можете повысить его до следующей категории граждан.",,,,,
loading_screen_tip_14_header,Подсказка #14,,,,,
loading_screen_tip_14_desc,"При строительстве здания, которое зависит от производительности другого здания, такого как Лесоповал или Просеиватель песка, <br>убедитесь что уровень производительности максимально высок.",,,,,
loading_screen_tip_15_header,Подсказка #15,,,,,
loading_screen_tip_15_desc,Собрать ракету - единственный способ спастись с разрушающейся Земли и выиграть игру. Ищите в шахте все необходимые детали!,,,,,
loading_screen_tip_16_header,Подсказка #16,,,,,
loading_screen_tip_16_desc,"Модернизация дорог увеличивает не только дальность покрытия всех подключенных к ним зданий, но и скорость передвижения ваших стимботов.",,,,,
loading_screen_tip_17_header,Подсказка #17,,,,,
loading_screen_tip_17_desc,"Некоторые ресурсы можно найти только в шахте! Если вы обнаружите что вам не хватает ресурсов есть шанс что вы найдете их под землей!",,,,,
loading_screen_tip_18_header,Подсказка #18,,,,,
loading_screen_tip_18_desc,"Установка конвейерных лент - это отличный способ сделать подбор и доставку ресурсов более <br>эффективными. Пусть все они соберутся в одной точке, чтобы их могли легко подхватить ваши исследователи.",,,,,
loading_screen_tip_19_header,Подсказка #19,,,,,
